iter	F1	Logloss
149	0.866407007	0.3015902075
150	0.8663196564	0.3014556902
151	0.8664723116	0.3013005816
152	0.8663752681	0.3010285201
153	0.8667290026	0.3007088416
154	0.8667581214	0.3002245809
155	0.8667484149	0.3002084195
156	0.8674789036	0.2997942195
157	0.8680493991	0.2991655408
158	0.8683441756	0.2990061174
159	0.8680233398	0.2989023333
160	0.8680136286	0.2988960438
161	0.8682436263	0.2986181091
162	0.8683376179	0.2984099481
163	0.8686873956	0.2981471191
164	0.8688331144	0.2977733463
165	0.8690532951	0.2976353039
166	0.869490166	0.2972937767
167	0.8699753828	0.2970872317
168	0.8695325286	0.2967101141
169	0.8696748931	0.2964813823
170	0.8699109059	0.2962706765
171	0.8702306529	0.2960142691
172	0.8705052467	0.2956037579
173	0.8705987364	0.2954551491
174	0.870737012	0.2952507883
175	0.8707078467	0.295205057
176	0.870762368	0.2949020235
177	0.8713146041	0.2946951429
178	0.871024888	0.294183442
179	0.8713322592	0.2938305505
180	0.8713711815	0.293598587
181	0.8713322592	0.2933779303
182	0.8711805301	0.2931372094
183	0.8713711815	0.2930591479
184	0.8711610718	0.292877917
185	0.8709645445	0.2927097404
186	0.870577088	0.292408419
187	0.8708613697	0.2921646535
188	0.87084191	0.292164606
189	0.8707095145	0.2920796891
190	0.8709820208	0.2918055582
191	0.8712954827	0.2916614374
192	0.871789816	0.2913337654
193	0.8716867512	0.2911409511
194	0.8717605959	0.2909840601
195	0.8719512939	0.290777013
196	0.8723771034	0.2905408372
197	0.8734430458	0.2900421738
198	0.8733403668	0.2897410026
199	0.8733403668	0.2894764063
